gtin14,jan3,jan4,jan13keta,indicator
04946306068084,494,4946,4946306068084,i0
04946306068091,494,4946,4946306068091,i0
04946306068107,494,4946,4946306068107,i0
04946306068114,494,4946,4946306068114,i0
04946306068121,494,4946,4946306068121,i0
04946306068138,494,4946,4946306068138,i0
04946306070445,494,4946,4946306070445,i0
04946306070452,494,4946,4946306070452,i0
04946306070469,494,4946,4946306070469,i0
04946306070476,494,4946,4946306070476,i0
04946306070483,494,4946,4946306070483,i0
04946306070490,494,4946,4946306070490,i0
04946306070506,494,4946,4946306070506,i0
04946306071008,494,4946,4946306071008,i0
04946306071015,494,4946,4946306071015,i0
04946306071022,494,4946,4946306071022,i0
04946306071039,494,4946,4946306071039,i0
04946306071046,494,4946,4946306071046,i0
04946306071053,494,4946,4946306071053,i0
04946306071060,494,4946,4946306071060,i0
04946306071077,494,4946,4946306071077,i0
04946306071084,494,4946,4946306071084,i0
04946306071763,494,4946,4946306071763,i0
04946306071770,494,4946,4946306071770,i0
04946306071787,494,4946,4946306071787,i0
04946306071794,494,4946,4946306071794,i0
04946306071800,494,4946,4946306071800,i0
04946306071817,494,4946,4946306071817,i0
04946306071824,494,4946,4946306071824,i0
04946306071831,494,4946,4946306071831,i0
04946306071848,494,4946,4946306071848,i0
04946306074405,494,4946,4946306074405,i0
04946306074412,494,4946,4946306074412,i0
04946306074429,494,4946,4946306074429,i0
04946306074436,494,4946,4946306074436,i0
04946306074580,494,4946,4946306074580,i0
04946306076256,494,4946,4946306076256,i0
04946306076904,494,4946,4946306076904,i0
04946306078212,494,4946,4946306078212,i0
04946306078229,494,4946,4946306078229,i0
04946306079233,494,4946,4946306079233,i0
04946306081847,494,4946,4946306081847,i0
04946306081854,494,4946,4946306081854,i0
04946306081861,494,4946,4946306081861,i0
04946306081878,494,4946,4946306081878,i0
04946306081885,494,4946,4946306081885,i0
04946306081892,494,4946,4946306081892,i0
04946306081939,494,4946,4946306081939,i0
04946306081946,494,4946,4946306081946,i0
04946306083346,494,4946,4946306083346,i0
04946306083353,494,4946,4946306083353,i0
04946306026008,494,4946,4946306026008,i0
04946306117706,494,4946,4946306117706,i0
04946306118321,494,4946,4946306118321,i0
